nprocs, max iterations, CT, absErrorBound, BER, compression ratio, time, gosa, resent, resent ratio
4, 1000, 8, 1.000000e-06, 1.000000e-16, 2.020314, 1174.043777, 0.000000, 0, 0.000000
4, 1000, 8, 1.000000e-06, 1.000000e-10, 2.020314, 1172.181240, 0.000000, 0, 0.000000
4, 1000, 8, 1.000000e-06, 1.000000e-09, 2.020314, 1171.788163, 0.000000, 0, 0.000000
4, 1000, 8, 1.000000e-06, 1.000000e-08, 2.020314, 1167.904702, 0.000000, 0, 0.000000
4, 1000, 8, 1.000000e-06, 1.000000e-07, 2.020314, 1106.942627, 0.000000, 0, 0.000000
4, 1000, 8, 1.000000e-06, 1.000000e-06, 2.020314, 1170.882655, 0.000000, 33, 0.005500
4, 1000, 8, 1.000000e-06, 1.000000e-05, 2.020314, 1151.825833, 0.000000, 186, 0.031000
4, 1000, 8, 1.000000e-05, 1.000000e-16, 2.231411, 1172.929254, 0.000002, 0, 0.000000
4, 1000, 8, 1.000000e-05, 1.000000e-10, 2.231411, 1131.678747, 0.000002, 0, 0.000000
4, 1000, 8, 1.000000e-05, 1.000000e-09, 2.231411, 1169.437798, 0.000002, 0, 0.000000
4, 1000, 8, 1.000000e-05, 1.000000e-08, 2.231411, 1175.851975, 0.000002, 0, 0.000000
4, 1000, 8, 1.000000e-05, 1.000000e-07, 2.231411, 1173.135047, 0.000002, 0, 0.000000
4, 1000, 8, 1.000000e-05, 1.000000e-06, 2.231411, 1166.763168, 0.000002, 12, 0.002000
4, 1000, 8, 1.000000e-05, 1.000000e-05, 2.231411, 1158.492868, 0.000002, 174, 0.029000
4, 1000, 8, 1.000000e-04, 1.000000e-16, 2.498039, 1172.405086, 0.000015, 3, 0.000500
4, 1000, 8, 1.000000e-04, 1.000000e-10, 2.498039, 1174.038879, 0.000015, 0, 0.000000
4, 1000, 8, 1.000000e-04, 1.000000e-09, 2.498039, 1170.345229, 0.000015, 0, 0.000000
4, 1000, 8, 1.000000e-04, 1.000000e-08, 2.498039, 1158.966789, 0.000015, 0, 0.000000
4, 1000, 8, 1.000000e-04, 1.000000e-07, 2.498039, 1141.129882, 0.000015, 0, 0.000000
4, 1000, 8, 1.000000e-04, 1.000000e-06, 2.498039, 1171.981369, 0.000015, 18, 0.003000
4, 1000, 8, 1.000000e-04, 1.000000e-05, 2.498039, 1169.828179, 0.000015, 108, 0.018000
4, 1000, 8, 1.000000e-03, 1.000000e-16, 2.963832, 1168.070567, 0.000213, 0, 0.000000
4, 1000, 8, 1.000000e-03, 1.000000e-10, 2.963832, 1127.835053, 0.000213, 0, 0.000000
4, 1000, 8, 1.000000e-03, 1.000000e-09, 2.963832, 1171.174017, 0.000213, 0, 0.000000
4, 1000, 8, 1.000000e-03, 1.000000e-08, 2.963832, 1169.115125, 0.000213, 0, 0.000000
4, 1000, 8, 1.000000e-03, 1.000000e-07, 2.963832, 1174.704963, 0.000213, 0, 0.000000
4, 1000, 8, 1.000000e-03, 1.000000e-06, 2.963832, 1083.989907, 0.000213, 9, 0.001500
4, 1000, 8, 1.000000e-03, 1.000000e-05, 2.963832, 1164.489696, 0.000213, 150, 0.025000
4, 1000, 8, 1.000000e-02, 1.000000e-16, 3.455164, 1102.435160, 0.001723, 0, 0.000000
4, 1000, 8, 1.000000e-02, 1.000000e-10, 3.455164, 1173.171219, 0.001723, 0, 0.000000
4, 1000, 8, 1.000000e-02, 1.000000e-09, 3.455164, 1174.582842, 0.001723, 0, 0.000000
4, 1000, 8, 1.000000e-02, 1.000000e-08, 3.455164, 1166.454266, 0.001723, 0, 0.000000
4, 1000, 8, 1.000000e-02, 1.000000e-07, 3.455164, 1169.486573, 0.001723, 0, 0.000000
4, 1000, 8, 1.000000e-02, 1.000000e-06, 3.455164, 1169.407188, 0.001723, 15, 0.002500
4, 1000, 8, 1.000000e-02, 1.000000e-05, 3.455164, 1157.956491, 0.001723, 102, 0.017000
