num_worker, size_res, CT, absErrorBound, BER, compression ratio, time, gosa, resent, resent ratio
4, 262144, 10, 1.000000e-06, 1.000000e-06, 1.916177, 13.014174, 0.000000, 0, 0.000000
4, 262144, 10, 1.000000e-06, 1.000000e-05, 1.916177, 5.822354, 0.000000, 6, 1.000000
4, 262144, 10, 1.000000e-05, 1.000000e-16, 2.105288, 6.967664, 0.000002, 0, 0.000000
4, 262144, 10, 1.000000e-05, 1.000000e-10, 2.105288, 6.973113, 0.000002, 0, 0.000000
4, 262144, 10, 1.000000e-05, 1.000000e-09, 2.105288, 7.091393, 0.000002, 0, 0.000000
4, 262144, 10, 1.000000e-05, 1.000000e-08, 2.105288, 7.274191, 0.000002, 0, 0.000000
4, 262144, 10, 1.000000e-05, 1.000000e-07, 2.105288, 7.465553, 0.000002, 0, 0.000000
4, 262144, 10, 1.000000e-05, 1.000000e-06, 2.105288, 9.670678, 0.000002, 6, 1.000000
4, 262144, 10, 1.000000e-05, 1.000000e-05, 2.105288, 5.954194, 0.000002, 6, 1.000000
4, 262144, 10, 1.000000e-04, 1.000000e-16, 2.335870, 7.151989, 0.000015, 0, 0.000000
4, 262144, 10, 1.000000e-04, 1.000000e-10, 2.335870, 7.060169, 0.000015, 0, 0.000000
4, 262144, 10, 1.000000e-04, 1.000000e-09, 2.335870, 7.108425, 0.000015, 0, 0.000000
4, 262144, 10, 1.000000e-04, 1.000000e-08, 2.335870, 7.124503, 0.000015, 0, 0.000000
4, 262144, 10, 1.000000e-04, 1.000000e-07, 2.335870, 7.119944, 0.000015, 0, 0.000000
4, 262144, 10, 1.000000e-04, 1.000000e-06, 2.335870, 8.662333, 0.000015, 6, 1.000000
4, 262144, 10, 1.000000e-04, 1.000000e-05, 2.335870, 5.652712, 0.000015, 6, 1.000000
4, 262144, 10, 1.000000e-03, 1.000000e-16, 2.736034, 6.199837, 0.000244, 0, 0.000000
4, 262144, 10, 1.000000e-03, 1.000000e-10, 2.736034, 6.239400, 0.000244, 0, 0.000000
4, 262144, 10, 1.000000e-03, 1.000000e-09, 2.736034, 6.216212, 0.000244, 0, 0.000000
4, 262144, 10, 1.000000e-03, 1.000000e-08, 2.736034, 6.216598, 0.000244, 0, 0.000000
4, 262144, 10, 1.000000e-03, 1.000000e-07, 2.736034, 6.238049, 0.000244, 0, 0.000000
4, 262144, 10, 1.000000e-03, 1.000000e-06, 2.736034, 7.045907, 0.000244, 6, 1.000000
4, 262144, 10, 1.000000e-03, 1.000000e-05, 2.736034, 4.897976, 0.000244, 6, 1.000000
4, 262144, 10, 1.000000e-02, 1.000000e-16, 3.148251, 5.481914, 0.001972, 0, 0.000000
4, 262144, 10, 1.000000e-02, 1.000000e-10, 3.148251, 5.555663, 0.001972, 0, 0.000000
4, 262144, 10, 1.000000e-02, 1.000000e-09, 3.148251, 5.497365, 0.001972, 0, 0.000000
4, 262144, 10, 1.000000e-02, 1.000000e-08, 3.148251, 5.499407, 0.001972, 0, 0.000000
4, 262144, 10, 1.000000e-02, 1.000000e-07, 3.148251, 5.495798, 0.001972, 0, 0.000000
4, 262144, 10, 1.000000e-02, 1.000000e-06, 3.148251, 7.403029, 0.001972, 3, 0.500000
4, 262144, 10, 1.000000e-02, 1.000000e-05, 3.148251, 4.450089, 0.001972, 6, 1.000000
