world_size, PING_PONG_LIMIT, DUP, CT, absErrorBound, BER, compression ratio, time, gosa, resent, resent ratio
2,1,1,0,1.00E-06,1.00E-06,0,0.000016,0,0,0
2,1,1,5,1.00E-06,1.00E-06,0.718109,0.000014,0,0,0
2,1,10,0,1.00E-06,1.00E-06,0,0.000119,0,0,0
2,1,10,5,1.00E-06,1.00E-06,0.779925,0.000112,0,0,0
2,1,100,0,1.00E-06,1.00E-06,0,0.000535,0,0,0
2,1,100,5,1.00E-06,1.00E-06,0.779916,0.023024,0,0,0
2,1,1000,0,1.00E-06,1.00E-06,0,0.178827,0,0,0
2,1,1000,5,1.00E-06,1.00E-06,0.779915,0.146258,0,0,0
2,2,1,0,1.00E-06,1.00E-06,0,0.003611,0,0,0
2,2,1,5,1.00E-06,1.00E-06,0.718109,0.00318,0,0,0
2,2,10,0,1.00E-06,1.00E-06,0,0.005958,0,0,0
2,2,10,5,1.00E-06,1.00E-06,0.779925,0.036909,0,0,0
2,2,100,0,1.00E-06,1.00E-06,0,0.000461,0,0,0
2,2,100,5,1.00E-06,1.00E-06,0.779916,0.320458,0,0,0
2,2,1000,0,1.00E-06,1.00E-06,0,0.004147,0,0,0
2,2,1000,5,1.00E-06,1.00E-06,0.779915,3.258383,0,0,0
2,3,1,0,1.00E-06,1.00E-06,0,0.000043,0,0,0
2,3,1,5,1.00E-06,1.00E-06,0.718109,0.000032,0,0,0
2,3,10,0,1.00E-06,1.00E-06,0,0.000177,0,0,0
2,3,10,5,1.00E-06,1.00E-06,0.779925,0.003482,0,0,0
2,3,100,0,1.00E-06,1.00E-06,0,0.015967,0,0,0
2,3,100,5,1.00E-06,1.00E-06,0.779916,0.000501,0,0,0
2,3,1000,0,1.00E-06,1.00E-06,0,0.006021,0,0,0
2,3,1000,5,1.00E-06,1.00E-06,0.779915,0.259488,0,0,0
2,4,1,0,1.00E-06,1.00E-06,0,0.003046,0,0,0
2,4,1,5,1.00E-06,1.00E-06,0.718109,0.003142,0,0,0
2,4,10,0,1.00E-06,1.00E-06,0,0.000214,0,0,0
2,4,10,5,1.00E-06,1.00E-06,0.779925,0.031075,0,0,0
2,4,100,0,1.00E-06,1.00E-06,0,0.019839,0,0,0
2,4,100,5,1.00E-06,1.00E-06,0.779916,0.344217,0,0,0
2,4,1000,0,1.00E-06,1.00E-06,0,0.214423,0,0,0
2,4,1000,5,1.00E-06,1.00E-06,0.779915,3.117723,0,0,0
2,3,1,10,1.00E-06,1.00E-06,1.392546,0.17032,0,0,0
2,3,10,10,1.00E-06,1.00E-06,1.282174,7.9474,0,0,02, 10000, 1, 0, 1.000000e-06, 1.000000e-06, -33621142405120.000000, 0.019049, 0.000000, 0, 0.000000
2, 10000, 1, 5, 1.000000e-06, 1.000000e-06, 1.392546, 0.024502, 0.000000, 0, 0.000000
2, 10000, 1, 7, 1.000000e-06, 1.000000e-06, 1.418774, 0.016001, 0.000000, 0, 0.000000
2, 10000, 1, 11, 1.000000e-06, 1.000000e-06, 1.112212, 0.018831, 0.000000, 0, 0.000000
2, 10000, 1, 11, 1.000000e-06, 1.000000e-06, 1.118705, 0.035735, 0.000000, 0, 0.000000
2, 10000, 1, 5, 1.000000e-06, 1.000000e-06, 1.392546, 0.020786, 0.000000, 0, 0.000000
2, 10000, 1, 5, 1.000000e-06, 1.000000e-06, 2.495564, 0.022099, 0.000000, 0, 0.000000
